x,y
9.4,5.0
9.8,5.0
9.8,5.0
9.8,6.0
9.4,5.0
9.4,5.0
9.4,5.0
10.0,7.0
9.5,7.0
10.5,5.0
9.2,5.0
10.5,5.0
9.9,5.0
9.1,5.0
9.2,5.0
9.2,5.0
10.5,7.0
9.3,5.0
9.0,4.0
9.2,6.0
9.4,6.0
9.7,5.0
9.5,5.0
9.4,5.0
9.7,6.0
9.3,5.0
9.5,5.0
9.5,5.0
9.4,5.0
9.8,6.0
10.1,5.0
10.6,6.0
9.8,5.0
9.4,6.0
9.2,5.0
9.6,6.0
10.8,6.0
9.7,7.0
9.8,4.0
10.5,5.0
10.5,5.0
9.3,4.0
10.5,6.0
10.3,5.0
9.5,5.0
13.1,4.0
9.2,5.0
9.5,5.0
9.2,5.0
9.2,5.0
9.2,5.0
9.4,6.0
9.4,6.0
9.4,5.0
10.2,6.0
9.5,5.0
9.6,5.0
9.4,5.0
10.0,5.0
9.4,6.0
9.2,5.0
9.3,5.0
9.5,7.0
9.8,5.0
10.9,5.0
10.9,5.0
9.6,5.0
10.7,5.0
10.7,5.0
10.5,6.0
9.5,6.0
9.5,5.0
9.5,5.0
9.2,4.0
9.6,5.0
10.5,5.0
10.5,5.0
10.7,6.0
10.1,5.0
9.1,4.0
9.2,5.0
9.4,5.0
9.1,5.0
9.4,5.0
10.3,6.0
10.1,5.0
9.9,6.0
9.6,5.0
9.5,5.0
9.0,5.0
9.5,5.0
9.9,6.0
9.8,5.0
9.6,5.0
10.5,4.0
12.9,6.0
10.7,5.0
9.2,5.0
9.8,5.0
9.0,6.0
10.2,6.0
10.4,6.0
9.0,6.0
9.2,5.0
9.4,5.0
9.2,5.0
9.3,5.0
9.3,5.0
9.6,6.0
9.3,5.0
9.5,5.0
9.8,5.0
9.8,5.0
9.7,6.0
9.5,5.0
10.5,6.0
10.0,6.0
9.4,6.0
10.9,6.0
9.2,6.0
9.0,5.0
10.9,6.0
9.2,5.0
9.5,5.0
9.5,5.0
9.4,5.0
10.9,5.0
10.9,5.0
10.5,7.0
9.4,5.0
9.4,5.0
13.0,5.0
13.0,5.0
9.8,6.0
9.9,6.0
9.6,5.0
9.5,5.0
9.2,5.0
9.5,5.0
9.5,5.0
9.6,5.0
9.5,5.0
14.0,6.0
9.4,5.0
14.0,6.0
9.4,5.0
10.0,5.0
9.3,5.0
10.2,6.0
10.5,6.0
10.3,6.0
9.4,4.0
10.1,5.0
10.1,5.0
10.5,5.0
10.5,5.0
10.5,5.0
10.5,5.0
9.3,5.0
9.3,6.0
9.6,5.0
9.2,4.0
10.0,6.0
9.4,5.0
9.4,5.0
9.5,5.0
10.2,5.0
9.0,4.0
10.4,6.0
9.5,5.0
9.1,4.0
9.2,6.0
9.2,6.0
11.5,6.0
9.5,5.0
9.5,5.0
9.5,5.0
10.5,6.0
9.6,5.0
9.5,5.0
9.5,5.0
9.3,5.0
9.3,5.0
9.3,5.0
9.3,6.0
9.7,5.0
9.2,5.0
9.7,5.0
9.5,5.0
9.5,5.0
9.4,5.0
9.8,6.0
9.5,5.0
9.7,5.0
9.7,5.0
9.4,5.0
10.2,5.0
10.1,6.0
13.0,7.0
11.4,4.0
10.3,7.0
9.3,5.0
9.5,5.0
9.2,5.0
9.2,6.0
10.8,7.0
10.8,7.0
9.3,5.0
9.4,5.0
10.5,7.0
12.4,6.0
10.0,6.0
10.2,6.0
10.1,5.0
9.8,6.0
10.5,5.0
11.0,5.0
9.1,5.0
9.7,5.0
9.5,5.0
9.4,6.0
9.4,5.0
9.5,5.0
10.0,6.0
10.4,4.0
10.5,6.0
9.5,6.0
9.8,5.0
10.5,6.0
11.0,5.0
12.2,7.0
9.9,6.0
9.6,6.0
11.0,5.0
9.0,6.0
9.0,6.0
9.0,6.0
9.2,6.0
9.0,6.0
9.0,6.0
9.3,5.0
10.9,6.0
9.8,6.0
9.2,7.0
9.2,7.0
9.9,6.0
9.5,5.0
9.3,5.0
9.8,6.0
9.9,6.0
10.0,6.0
9.9,6.0
10.5,5.0
9.5,5.0
9.9,6.0
9.3,5.0
9.2,5.0
9.2,5.0
9.4,5.0
10.5,7.0
9.3,5.0
9.4,4.0
10.0,5.0
9.3,5.0
10.9,5.0
10.2,7.0
9.8,4.0
12.8,8.0
9.4,6.0
10.1,6.0
10.7,6.0
10.1,6.0
10.1,5.0
9.4,5.0
9.4,5.0
10.7,6.0
9.4,6.0
10.1,6.0
12.6,8.0
10.5,7.0
9.3,6.0
9.9,7.0
9.1,5.0
10.5,7.0
9.8,5.0
9.8,5.0
10.3,6.0
10.3,6.0
10.6,7.0
